予約ID(自動発行),コースID,予約名（自動反映）,コース案内（自動反映）,グループ名,日程,開始日時,完了日時,開催場所,イベントID,予約状況
31,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/02/05,14:00,15:00,,,設定する
32,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/02/10,14:00,15:00,,,設定する
33,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/02/12,16:00,17:00,,,設定する
34,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/02/17,15:00,16:00,,,設定する
35,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/02/19,15:00,16:00,,,設定する
36,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/02/24,14:00,15:00,,,設定する
37,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/02/26,16:00,17:00,,,設定する
38,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/03/03,15:00,16:00,,,設定する
39,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/03/05,14:00,15:00,,,設定する
40,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/03/10,14:00,15:00,,,設定する
41,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/03/12,16:00,17:00,,,設定する
42,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/03/17,15:00,16:00,,,設定する
43,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/03/19,15:00,16:00,,,設定する
44,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/03/24,14:00,15:00,,,設定する
45,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/03/27,16:00,17:00,,,設定する
46,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/04/02,14:00,15:00,,,設定する
47,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/04/07,15:00,16:00,,,設定する
48,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/04/09,15:00,16:00,,,設定する
49,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/04/14,15:00,16:00,,,設定する
50,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/04/16,16:00,17:00,,,設定する
51,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/04/17,16:00,17:00,,,設定する
52,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/04/21,15:00,16:00,,,設定する
53,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/04/23,14:00,15:00,,,設定する
54,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/05/07,14:00,15:00,,,設定する
55,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/05/08,16:00,17:00,,,設定する
56,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/05/12,14:00,15:00,,,設定する
57,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/05/14,15:00,16:00,,,設定する
58,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/05/15,16:00,17:00,,,設定する
59,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/06/11,14:00,15:00,,,設定する
60,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/06/12,16:00,17:00,,,設定する
61,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/06/23,14:00,15:00,,,設定する
62,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/06/25,15:00,16:00,,,設定する
63,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/06/26,16:00,17:00,,,設定する
64,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/06/30,15:00,16:00,,,設定する
65,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/07/07,14:00,15:00,,,設定する
66,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/07/09,15:00,16:00,,,設定する
67,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/07/10,16:00,17:00,,,設定する
68,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/07/14,15:00,16:00,,,設定する
69,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/07/16,14:00,15:00,,,設定する
70,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/07/23,15:00,16:00,,,設定する
71,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/07/24,16:00,17:00,,,設定する
72,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/07/28,14:00,15:00,,,設定する
73,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/08/04,14:00,15:00,,,設定する
74,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/08/18,14:00,15:00,,,設定する
75,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/08/20,15:00,16:00,,,設定する
76,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/08/21,16:00,17:00,,,設定する
77,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/08/25,15:00,16:00,,,設定する
78,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/08/27,14:00,15:00,,,設定する
79,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/08/28,16:00,17:00,,,設定する
80,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/09/01,15:00,16:00,,,設定する
81,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/09/03,14:00,15:00,,,設定する
82,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/09/04,16:00,17:00,,,設定する
83,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/09/25,16:00,17:00,,,設定する
84,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/09/29,15:00,16:00,,,設定する
