予約ID(自動発行),コースID,予約名（自動反映）,コース案内（自動反映）,グループ名,日程,開始日時,完了日時,開催場所,イベントID,予約状況
25,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/04/02,14:00,15:00,KANKOKU-KAN(40F),6vhcdok0hfs6005lfrggqsk7tv,予約受付中
26,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/04/07,15:00,16:00,ISLAND(39F),6rd21d2t41ta7f1r7kfk494at5,予約受付中
27,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/04/09,15:00,16:00,KANKOKU-KAN(40F),07vsq7hvg53hv26h2e6lg9dh2h,予約受付中
28,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/04/14,15:00,16:00,ISLAND(39F),736kmjqdu7v6dm2ak6om1acgad,予約受付中
29,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/04/16,16:00,17:00,KANKOKU-KAN(40F),3pj886t5oh3d1t2pgr16rlm0db,予約受付中
30,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/04/17,16:00,17:00,KANKOKU-KAN(40F),6odav0lqofuj4ggljp1acaekbd,予約受付中
31,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/04/21,15:00,16:00,MANHATTAN(40F),3uu63i8oikqc8n8kr7g7h0t45d,予約受付中
32,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/04/23,14:00,15:00,KANKOKU-KAN(40F),43cc071jfke9eeeqhoen4do4mf,予約受付中
33,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/05/07,14:00,15:00,KANKOKU-KAN(40F),59qo7ke502j1dqcan34pke3m94,予約受付中
34,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/05/07,16:00,17:00,KANKOKU-KAN(40F),,予約受付中
35,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/05/12,14:00,15:00,ISLAND(39F),20573emvqd7fmh7ccsdvue4ltk,予約受付中
36,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/05/14,15:00,16:00,KANKOKU-KAN(40F),2rcft4dv8qb15ba9kom82u3ped,予約受付中
37,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/05/15,16:00,17:00,KANKOKU-KAN(40F),1q46b55ipp3859u8bknmjdj0ji,予約受付中
38,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/06/11,14:00,15:00,AMBITION(39F),2csf3gg5dhhabfjetq0g61f23i,予約受付中
39,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/06/12,16:00,17:00,KANKOKU-KAN(40F),7s5h46uconvjfpcdl01b20b8q7,予約受付中
40,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/06/23,14:00,15:00,ISLAND(39F),0trahq27c8s9ht3pgde6cm4isc,予約受付中
41,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/06/25,15:00,16:00,KANKOKU-KAN(40F),25nsm0ut4fubo5ifp6i5rafdgb,予約受付中
42,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/06/26,16:00,17:00,KANKOKU-KAN(40F),7t9b81jirpg04t7hdd0260oac2,予約受付中
43,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/06/30,15:00,16:00,ISLAND(39F),,予約受付中
44,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/07/07,14:00,15:00,ISLAND(39F),7icl0gq9v2e09kgpibiielcn4h,予約受付中
45,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/07/09,15:00,16:00,KANKOKU-KAN(40F),5fq0u84km30b1abf5rpsg7h0md,予約受付中
46,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/07/10,16:00,17:00,KANKOKU-KAN(40F),4bse71u39fovsjd1ta6aotkdff,予約受付中
47,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/07/14,15:00,16:00,KANKOKU-KAN(40F),,予約受付中
48,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/07/16,14:00,15:00,AMBITION(39F),4ibq8jc8t9sgka8g7092nssoam,予約受付中
49,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/07/23,15:00,16:00,KANKOKU-KAN(40F),0n8vr3uhmqnkr51ho8u5lnv92h,予約受付中
50,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/07/24,16:00,17:00,KANKOKU-KAN(40F),32p19ve50mvurl71tss6i46udh,予約受付中
51,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/07/28,14:00,15:00,ISLAND(39F),2vu45lckhaht03mikb9ukh4g6r,予約受付中
52,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/08/04,14:00,15:00,ISLAND(39F),5he2a6h8rlh1sjn9p2dgegst1s,予約受付中
53,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/08/18,14:00,15:00,AMBITION(39F),4pnnrusqhc2maq6l1fgkk7ofac,予約受付中
54,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/08/20,15:00,16:00,KANKOKU-KAN(40F),7qjoncm0ankfuo8rfcn97dcqd6,予約受付中
55,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/08/21,16:00,17:00,KANKOKU-KAN(40F),2mr6sk6d6jci4t1n5apmit1kv7,予約受付中
56,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/08/25,15:00,16:00,ISLAND(39F),0gqd8rtic8u1atg8lati42uel8,予約受付中
57,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/08/27,14:00,15:00,,2h7n5tal6q0hgtu5rhgkd37jbs,予約受付中
58,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/08/28,16:00,17:00,,00tcol9tobtkvpd2tdg3r4igmf,予約受付中
59,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/09/01,15:00,16:00,,,予約受付中
60,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/09/03,14:00,15:00,KANKOKU-KAN(40F),,予約受付中
61,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/09/04,16:00,17:00,KANKOKU-KAN(40F),2h0t05mn1kd13gsn3am5lmg68c,予約受付中
62,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/09/25,16:00,17:00,ISLAND(39F),6gaoa8n65aldhe0pcivkjgi5tf,予約受付中
63,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/09/29,15:00,16:00,ISLAND(39F),7oigq4cjsgo69mt9ih05i3fnnc,予約受付中
64,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/10/01,15:00,16:00,KANKOKU-KAN(40F),4r85ho9pk5k10n191n37dr9mnq,予約受付中
65,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/10/02,16:00,17:00,KANKOKU-KAN(40F),7id6ubtslvfsbs1rhju57nsrm9,予約受付中
66,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/10/06,15:00,16:00,ISLAND(39F),4a7raoq5o8r3vhgn3jsgblk2ev,予約受付中
67,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/10/08,15:00,16:00,KANKOKU-KAN(40F),1cqopmi4qfejqrdro506gk0ge1,予約受付中
68,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/10/09,16:00,17:00,ISLAND(39F),1r58s6q2s5jt1ndmm73obk3sfo,予約受付中
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
